year,month,temp_c,co2_ppm,ch4_ppb,solar_wm2,co2_emissions_mt,months_elapsed,co2_growth,ch4_growth,co2_ma12,ch4_ma12,solar_anomaly,log_emissions
1983,12,0.16,343.2,1639.53,1361.4444177243274,18901.775,11,1.4099999999999682,-3.0799999999999272,342.135,1636.5649999999998,0.43838673152708907,9.847064015666765
1984,1,0.31,344.21,1638.74,1361.4548159976773,19457.25,12,1.009999999999991,-0.7899999999999636,342.43142857142857,1636.8757142857141,0.4487850048769815,9.876026423638672
1984,2,0.14,344.92,1638.82,1361.464183966508,19457.25,13,0.7100000000000364,0.07999999999992724,342.7425,1637.11875,0.4581529737076835,9.876026423638672
1984,3,0.26,345.68,1640.86,1361.4725004093573,19457.25,14,0.7599999999999909,2.0399999999999636,343.06888888888886,1637.5344444444445,0.4664694165569472,9.876026423638672
1984,4,0.05,347.37,1643.97,1361.4797464868072,19457.25,15,1.6899999999999977,3.1100000000001273,343.49899999999997,1638.1779999999999,0.4737154940069104,9.876026423638672
1984,5,0.33,347.77,1643.15,1361.4859057841618,19457.25,16,0.39999999999997726,-0.8199999999999363,343.8872727272727,1638.63,0.4798747913614534,9.876026423638672
1984,6,0.02,347.16,1639.74,1361.4909643486315,19457.25,17,-0.6099999999999568,-3.410000000000082,344.16,1638.7224999999999,0.4849333558311173,9.876026423638672
1984,7,0.19,345.79,1637.99,1361.4949107209404,19457.25,18,-1.3700000000000045,-1.75,344.28249999999997,1639.7241666666666,0.4888797281400912,9.876026423638672
1984,8,0.19,343.74,1641.69,1361.4977359612865,19457.25,19,-2.0500000000000114,3.7000000000000455,344.385,1640.8608333333332,0.49170496848614675,9.876026423638672
1984,9,0.21,341.59,1650.61,1361.4994336695916,19457.25,20,-2.150000000000034,8.919999999999845,344.4791666666667,1641.8766666666668,0.4934026767912201,9.876026423638672
1984,10,0.13,341.86,1654.6,1361.5,19457.25,21,0.27000000000003865,3.990000000000009,344.59,1642.6925,0.4939690071996665,9.876026423638672
1984,11,0.06,343.31,1653.79,1361.4994336695916,19457.25,22,1.4499999999999886,-0.8099999999999454,344.71666666666664,1643.6241666666665,0.4934026767912201,9.876026423638672
1984,12,-0.05,345.0,1656.19,1361.4977359612865,19457.25,23,1.6899999999999977,2.400000000000091,344.8666666666666,1645.0125,0.49170496848614675,9.876026423638672
1985,1,0.22,345.48,1655.6,1361.4949107209404,20144.863,24,0.4800000000000182,-0.5900000000001455,344.9725,1646.4174999999998,0.4888797281400912,9.910754236122113
1985,2,-0.04,346.41,1652.25,1361.4909643486315,20144.863,25,0.9300000000000068,-3.349999999999909,345.09666666666664,1647.5366666666666,0.4849333558311173,9.910754236122113
1985,3,0.17,347.91,1654.61,1361.4859057841618,20144.863,26,1.5,2.3599999999999,345.2825,1648.6825,0.4798747913614534,9.910754236122113
1985,4,0.12,348.66,1658.19,1361.4797464868072,20144.863,27,0.75,3.5800000000001546,345.39000000000004,1649.8675,0.4737154940069104,9.910754236122113
1985,5,0.14,349.28,1655.88,1361.4725004093573,20144.863,28,0.6199999999999477,-2.3099999999999454,345.5158333333334,1650.9283333333333,0.4664694165569472,9.910754236122113
1985,6,0.15,348.65,1650.06,1361.464183966508,20144.863,29,-0.6299999999999955,-5.820000000000164,345.64000000000004,1651.7883333333336,0.4581529737076835,9.910754236122113
1985,7,0.04,346.9,1646.81,1361.4548159976773,20144.863,30,-1.75,-3.25,345.7325,1652.5233333333333,0.4487850048769815,9.910754236122113
1985,8,0.16,345.26,1652.24,1361.4444177243274,20144.863,31,-1.6399999999999864,5.430000000000064,345.8591666666667,1653.4025000000001,0.43838673152708907,9.910754236122113
1985,9,0.13,343.47,1662.48,1361.4330127018923,20144.863,32,-1.7899999999999636,10.240000000000009,346.0158333333334,1654.3916666666667,0.4269817090919332,9.910754236122113
1985,10,0.11,343.35,1667.5,1361.4206267664156,20144.863,33,-0.12000000000000455,5.019999999999982,346.14000000000004,1655.4666666666665,0.4145957736152468,9.910754236122113
1985,11,0.05,344.73,1666.81,1361.4072879760251,20144.863,34,1.3799999999999955,-0.6900000000000546,346.2583333333334,1656.551666666667,0.40125698322481185,9.910754236122113
1985,12,0.13,346.12,1666.05,1361.3930265473714,20144.863,35,1.3899999999999864,-0.7599999999999909,346.3516666666667,1657.3733333333332,0.38699555457105816,9.910754236122113
1986,1,0.26,346.78,1666.29,1361.3778747871772,20438.045,36,0.6599999999999682,0.2400000000000091,346.46000000000004,1658.2641666666666,0.3718437943769004,9.925202321112625
1986,2,0.37,347.48,1666.93,1361.3618670190526,20438.045,37,0.7000000000000455,0.6400000000001,346.5491666666667,1659.4875,0.35583602625229105,9.925202321112625
1986,3,0.3,348.25,1669.26,1361.345039505741,20438.045,38,0.7699999999999818,2.3299999999999272,346.57750000000004,1660.7083333333333,0.33900851294060885,9.925202321112625
1986,4,0.22,349.86,1670.8,1361.3274303669727,20438.045,39,1.6100000000000136,1.5399999999999636,346.6775,1661.7591666666667,0.32139937417241526,9.925202321112625
1986,5,0.21,350.52,1668.45,1361.3090794931104,20438.045,40,0.6599999999999682,-2.349999999999909,346.7808333333333,1662.8066666666666,0.30304850031006936,9.925202321112625
1986,6,0.12,349.98,1664.77,1361.2900284547857,20438.045,41,-0.5399999999999636,-3.6800000000000637,346.89166666666665,1664.0325,0.2839974619853365,9.925202321112625
1986,7,0.11,348.25,1662.33,1361.270320408728,20438.045,42,-1.7300000000000182,-2.4400000000000546,347.00416666666666,1665.3258333333333,0.2642894159275784,9.925202321112625
1986,8,0.15,346.17,1664.37,1361.25,20438.045,43,-2.079999999999984,2.0399999999999636,347.08,1666.3366666666668,0.24396900719966652,9.925202321112625
1986,9,0.03,345.48,1672.57,1361.2291132608636,20438.045,44,-0.6899999999999977,8.200000000000045,347.2475,1667.1775,0.22308226806330822,9.925202321112625
1986,10,0.15,344.82,1678.68,1361.207707506501,20438.045,45,-0.660000000000025,6.110000000000127,347.37000000000006,1668.1091666666664,0.20167651370070416,9.925202321112625
1986,11,0.1,346.22,1678.98,1361.1858312278302,20438.045,46,1.400000000000034,0.2999999999999545,347.4941666666667,1669.1233333333332,0.1798002350299157,9.925202321112625
1986,12,0.13,347.48,1679.12,1361.1635339816587,20438.045,47,1.259999999999991,0.13999999999987267,347.6075,1670.2124999999999,0.15750298885836855,9.925202321112625
1987,1,0.31,348.73,1679.42,1361.1408662784206,21106.189,48,1.25,0.3000000000001819,347.77,1671.3066666666666,0.13483528562028368,9.957368972335853
1987,2,0.43,348.92,1679.04,1361.1178794677546,21106.189,49,0.18999999999999773,-0.38000000000010914,347.89000000000004,1672.3158333333333,0.11184847495428585,9.957368972335853
1987,3,0.18,349.81,1680.01,1361.0946256221803,21106.189,50,0.8899999999999864,0.9700000000000273,348.02,1673.2116666666668,0.08859462937994067,9.957368972335853
1987,4,0.24,351.4,1681.36,1361.0711574191366,21106.189,51,1.589999999999975,1.349999999999909,348.1483333333333,1674.0916666666665,0.06512642633629184,9.957368972335853
1987,5,0.25,352.15,1681.86,1361.0475280216522,21106.189,52,0.75,0.5,348.28416666666664,1675.2091666666665,0.04149702885183615,9.957368972335853
1987,6,0.35,351.58,1679.98,1361.0237909579118,21106.189,53,-0.5699999999999932,-1.8799999999998818,348.4175,1676.4766666666665,0.01775996511150879,9.957368972335853
1987,7,0.4,350.21,1675.98,1361.0,21106.189,54,-1.3700000000000045,-4.0,348.5808333333334,1677.6141666666665,-0.006030992800333479,9.957368972335853
1987,8,0.24,348.2,1677.19,1360.9762090420882,21106.189,55,-2.009999999999991,1.2100000000000364,348.75,1678.6825000000001,-0.02982195071217575,9.957368972335853
1987,9,0.35,346.66,1685.58,1360.9524719783478,21106.189,56,-1.5399999999999636,8.389999999999873,348.84833333333336,1679.7666666666664,-0.053559014452503106,9.957368972335853
1987,10,0.32,346.72,1691.55,1360.9288425808634,21106.189,57,0.060000000000002274,5.970000000000027,349.00666666666666,1680.8391666666666,-0.0771884119369588,9.957368972335853
1987,11,0.29,348.08,1691.19,1360.9053743778197,21106.189,58,1.3599999999999568,-0.35999999999989996,349.16166666666663,1681.8566666666666,-0.10065661498060763,9.957368972335853
1987,12,0.46,349.28,1690.51,1360.8821205322454,21106.189,59,1.1999999999999886,-0.6800000000000637,349.31166666666667,1682.805833333333,-0.1239104605549528,9.957368972335853
1988,1,0.56,350.51,1691.98,1360.8591337215794,21918.756,60,1.2300000000000182,1.4700000000000273,349.46,1683.8525,-0.14689727122095064,9.995143609613136
1988,2,0.44,351.7,1692.54,1360.8364660183413,21918.756,61,1.1899999999999977,0.5599999999999454,349.6916666666666,1684.9775,-0.1695649744590355,9.995143609613136
1988,3,0.51,352.5,1691.29,1360.8141687721698,21918.756,62,0.8000000000000114,-1.25,349.9158333333333,1685.9174999999998,-0.19186222063058267,9.995143609613136
1988,4,0.42,353.67,1690.06,1360.792292493499,21918.756,63,1.170000000000016,-1.2300000000000182,350.105,1686.6425000000002,-0.21373849930137112,9.995143609613136
1988,5,0.44,354.35,1689.1,1360.7708867391364,21918.756,64,0.6800000000000068,-0.9600000000000364,350.28833333333336,1687.2458333333334,-0.23514425366397518,9.995143609613136
1988,6,0.4,353.88,1687.19,1360.75,21918.756,65,-0.4700000000000273,-1.9099999999998545,350.48,1687.8466666666666,-0.2560309928003335,9.995143609613136
1988,7,0.33,352.8,1686.02,1360.729679591272,21918.756,66,-1.079999999999984,-1.1700000000000728,350.6958333333334,1688.6833333333334,-0.27635140152824533,9.995143609613136
1988,8,0.39,350.49,1689.44,1360.7099715452143,21918.756,67,-2.3100000000000023,3.4200000000000728,350.8866666666666,1689.7041666666667,-0.29605944758600344,9.995143609613136
1988,9,0.37,348.97,1696.11,1360.6909205068896,21918.756,68,-1.5199999999999818,6.669999999999845,351.07916666666665,1690.5816666666667,-0.3151104859107363,9.995143609613136
1988,10,0.37,349.37,1701.14,1360.6725696330273,21918.756,69,0.39999999999997726,5.0300000000002,351.29999999999995,1691.3808333333336,-0.3334613597730822,9.995143609613136
1988,11,0.12,350.42,1702.84,1360.6549604942588,21918.756,70,1.0500000000000114,1.699999999999818,351.49499999999995,1692.3516666666667,-0.3510704985415032,9.995143609613136
1988,12,0.29,351.62,1701.9,1360.6381329809474,21918.756,71,1.1999999999999886,-0.9399999999998272,351.69,1693.3008333333335,-0.367898011852958,9.995143609613136
1989,1,0.12,353.07,1700.55,1360.6221252128228,22200.213,72,1.4499999999999886,-1.3500000000001364,351.90333333333336,1694.015,-0.38390577997756736,10.00790220600732
1989,2,0.29,353.43,1701.12,1360.6069734526286,22200.213,73,0.36000000000001364,0.5699999999999363,352.04749999999996,1694.7300000000002,-0.3990575401717251,10.00790220600732
1989,3,0.36,354.08,1702.49,1360.5927120239749,22200.213,74,0.6499999999999773,1.3700000000001182,352.1791666666666,1695.6633333333332,-0.4133189688254788,10.00790220600732
1989,4,0.29,355.72,1703.58,1360.5793732335844,22200.213,75,1.6400000000000432,1.0899999999999181,352.34999999999997,1696.79,-0.42665775921591376,10.00790220600732
1989,5,0.17,355.95,1703.36,1360.5669872981077,22200.213,76,0.22999999999996135,-0.22000000000002728,352.48333333333335,1697.9783333333332,-0.4390436946926002,10.00790220600732
1989,6,0.15,355.44,1700.21,1360.5555822756726,22200.213,77,-0.5099999999999909,-3.1499999999998636,352.6133333333333,1699.0633333333335,-0.450448717127756,10.00790220600732
1989,7,0.34,354.05,1698.2,1360.5451840023227,22200.213,78,-1.3899999999999864,-2.009999999999991,352.7175,1700.0783333333336,-0.46084699047764843,10.00790220600732
1989,8,0.33,351.84,1701.97,1360.535816033492,22200.213,79,-2.2100000000000364,3.769999999999982,352.83,1701.1224999999997,-0.47021495930835044,10.00790220600732
1989,9,0.34,350.09,1707.17,1360.5274995906427,22200.213,80,-1.75,5.2000000000000455,352.92333333333335,1702.0441666666668,-0.47853140215761414,10.00790220600732
1989,10,0.29,350.33,1710.53,1360.5202535131928,22200.213,81,0.2400000000000091,3.3599999999999,353.00333333333333,1702.8266666666666,-0.48577747960757733,10.00790220600732
1989,11,0.19,351.55,1713.11,1360.5140942158382,22200.213,82,1.2200000000000273,2.5799999999999272,353.0975,1703.6825000000001,-0.49193677696212035,10.00790220600732
1989,12,0.37,352.91,1713.22,1360.5090356513685,22200.213,83,1.3600000000000136,0.11000000000012733,353.205,1704.6258333333335,-0.49699534143178425,10.00790220600732
1990,1,0.41,353.86,1712.14,1360.5050892790596,22732.145,84,0.9499999999999886,-1.0799999999999272,353.2708333333333,1705.591666666667,-0.5009417137407581,10.03157927067165
1990,2,0.43,355.1,1713.51,1360.5022640387135,22732.145,85,1.240000000000009,1.3699999999998909,353.41,1706.6241666666665,-0.5037669540868137,10.03157927067165
1990,3,0.8,355.75,1714.36,1360.5005663304084,22732.145,86,0.6499999999999773,0.849999999999909,353.5491666666667,1707.6133333333335,-0.505464662391887,10.03157927067165
1990,4,0.56,356.38,1712.53,1360.5,22732.145,87,0.6299999999999955,-1.8299999999999272,353.6041666666667,1708.3591666666664,-0.5060309928003335,10.03157927067165
1990,5,0.45,357.38,1710.65,1360.5005663304084,22732.145,88,1.0,-1.8799999999998818,353.72333333333336,1708.966666666667,-0.505464662391887,10.03157927067165
1990,6,0.37,356.39,1708.45,1360.5022640387135,22732.145,89,-0.9900000000000091,-2.2000000000000455,353.8025,1709.6533333333334,-0.5037669540868137,10.03157927067165
1990,7,0.46,354.89,1706.57,1360.5050892790596,22732.145,90,-1.5,-1.8800000000001091,353.8725,1710.3508333333332,-0.5009417137407581,10.03157927067165
1990,8,0.34,353.06,1710.23,1360.5090356513685,22732.145,91,-1.829999999999984,3.660000000000082,353.97416666666663,1711.0391666666667,-0.49699534143178425,10.03157927067165
1990,9,0.23,351.38,1717.58,1360.5140942158382,22732.145,92,-1.6800000000000068,7.349999999999909,354.08166666666665,1711.9066666666665,-0.49193677696212035,10.03157927067165
1990,10,0.44,351.69,1722.02,1360.5202535131928,22732.145,93,0.3100000000000023,4.440000000000055,354.195,1712.8641666666665,-0.48577747960757733,10.03157927067165
1990,11,0.46,353.14,1723.47,1360.5274995906427,22732.145,94,1.4499999999999886,1.4500000000000455,354.32750000000004,1713.7275,-0.47853140215761414,10.03157927067165
1990,12,0.4,354.41,1723.3,1360.535816033492,22732.145,95,1.2700000000000387,-0.17000000000007276,354.45250000000004,1714.5675,-0.47021495930835044,10.03157927067165
1991,1,0.42,354.93,1721.66,1360.5451840023227,23205.592,96,0.5199999999999818,-1.6399999999998727,354.5416666666667,1715.3608333333332,-0.46084699047764843,10.052191655225899
1991,2,0.5,355.82,1721.31,1360.5555822756726,23205.592,97,0.8899999999999864,-0.3500000000001364,354.6016666666667,1716.0108333333335,-0.450448717127756,10.052191655225899
1991,3,0.35,357.33,1722.09,1360.5669872981077,23205.592,98,1.509999999999991,0.7799999999999727,354.73333333333335,1716.655,-0.4390436946926002,10.052191655225899
1991,4,0.51,358.77,1722.44,1360.5793732335844,23205.592,99,1.4399999999999977,0.3500000000001364,354.93249999999995,1717.4808333333333,-0.42665775921591376,10.052191655225899
1991,5,0.34,359.23,1722.12,1360.5927120239749,23205.592,100,0.4600000000000364,-0.3200000000001637,355.08666666666664,1718.4366666666665,-0.4133189688254788,10.052191655225899
1991,6,0.53,358.23,1718.87,1360.6069734526286,23205.592,101,-1.0,-3.25,355.24,1719.305,-0.3990575401717251,10.052191655225899
1991,7,0.47,356.3,1715.96,1360.6221252128228,23205.592,102,-1.9300000000000068,-2.9099999999998545,355.3575,1720.0874999999999,-0.38390577997756736,10.052191655225899
1991,8,0.39,353.97,1719.15,1360.6381329809474,23205.592,103,-2.329999999999984,3.1900000000000546,355.43333333333334,1720.8308333333334,-0.367898011852958,10.052191655225899
1991,9,0.44,352.34,1726.06,1360.654960494259,23205.592,104,-1.6300000000000523,6.9099999999998545,355.5133333333333,1721.5375000000001,-0.3510704985412758,10.052191655225899
1991,10,0.29,352.43,1732.7,1360.6725696330273,23205.592,105,0.09000000000003183,6.6400000000001,355.57500000000005,1722.4275,-0.3334613597730822,10.052191655225899
1991,11,0.29,353.89,1737.45,1360.6909205068896,23205.592,106,1.4599999999999795,4.75,355.6375,1723.5925,-0.3151104859107363,10.052191655225899
1991,12,0.32,355.21,1739.54,1360.7099715452143,23205.592,107,1.3199999999999932,2.089999999999918,355.70416666666665,1724.9458333333332,-0.29605944758600344,10.052191655225899
1992,1,0.47,356.34,1738.92,1360.729679591272,22520.424,108,1.1299999999999955,-0.6199999999998909,355.82166666666666,1726.3841666666667,-0.27635140152824533,10.022222312936584
1992,2,0.4,357.21,1737.32,1360.75,22520.424,109,0.8700000000000045,-1.6000000000001364,355.9375,1727.7183333333332,-0.2560309928003335,10.022222312936584
1992,3,0.48,357.97,1736.79,1360.7708867391364,22520.424,110,0.7600000000000477,-0.5299999999999727,355.99083333333334,1728.9433333333334,-0.23514425366397518,10.022222312936584
1992,4,0.27,359.22,1736.65,1360.792292493499,22520.424,111,1.25,-0.13999999999987267,356.02833333333336,1730.1274999999998,-0.21373849930137112,10.022222312936584
1992,5,0.31,359.71,1735.05,1360.8141687721698,22520.424,112,0.48999999999995225,-1.6000000000001364,356.0683333333333,1731.2050000000002,-0.19186222063058267,10.022222312936584
1992,6,0.25,359.44,1731.58,1360.8364660183413,22520.424,113,-0.2699999999999818,-3.4700000000000273,356.1691666666666,1732.2641666666666,-0.1695649744590355,10.022222312936584
1992,7,0.09,357.15,1728.8,1360.8591337215794,22520.424,114,-2.2900000000000205,-2.7799999999999727,356.24,1733.3341666666665,-0.14689727122095064,10.022222312936584
1992,8,0.08,354.99,1730.33,1360.8821205322454,22520.424,115,-2.159999999999968,1.5299999999999727,356.325,1734.2658333333336,-0.1239104605549528,10.022222312936584
1992,9,-0.01,353.01,1734.59,1360.9053743778197,22520.424,116,-1.9800000000000182,4.259999999999991,356.3808333333333,1734.9766666666667,-0.10065661498060763,10.022222312936584
1992,10,0.06,353.4,1737.68,1360.9288425808634,22520.424,117,0.38999999999998636,3.0900000000001455,356.46166666666664,1735.3916666666667,-0.0771884119369588,10.022222312936584
1992,11,0.02,354.42,1739.23,1360.9524719783478,22520.424,118,1.0200000000000387,1.5499999999999545,356.5058333333333,1735.54,-0.053559014452503106,10.022222312936584
1992,12,0.21,355.68,1738.51,1360.9762090420882,22520.424,119,1.259999999999991,-0.7200000000000273,356.545,1735.4541666666667,-0.02982195071217575,10.022222312936584
1993,1,0.34,357.1,1735.77,1361.0,22749.873,120,1.420000000000016,-2.740000000000009,356.60833333333335,1735.1916666666666,-0.006030992800333479,10.032358797269222
1993,2,0.37,357.42,1734.37,1361.0237909579118,22749.873,121,0.3199999999999932,-1.400000000000091,356.62583333333333,1734.9458333333332,0.01775996511150879,10.032358797269222
1993,3,0.36,358.59,1735.38,1361.0475280216522,22749.873,122,1.169999999999959,1.0100000000002183,356.6775,1734.8283333333331,0.04149702885183615,10.032358797269222
1993,4,0.27,359.39,1736.59,1361.0711574191366,22749.873,123,0.8000000000000114,1.209999999999809,356.69166666666666,1734.8233333333335,0.06512642633629184,10.032358797269222
1993,5,0.28,360.3,1735.0,1361.0946256221803,22749.873,124,0.910000000000025,-1.5899999999999181,356.74083333333334,1734.8191666666664,0.08859462937994067,10.032358797269222
1993,6,0.22,359.64,1730.88,1361.1178794677546,22749.873,125,-0.660000000000025,-4.119999999999891,356.7575,1734.7608333333335,0.11184847495428585,10.032358797269222
1993,7,0.25,357.45,1728.01,1361.1408662784206,22749.873,126,-2.1899999999999977,-2.8700000000001182,356.7825,1734.695,0.13483528562028368,10.032358797269222
1993,8,0.11,355.76,1731.14,1361.1635339816587,22749.873,127,-1.6899999999999977,3.130000000000109,356.84666666666664,1734.7624999999998,0.15750298885836855,10.032358797269222
1993,9,0.11,354.14,1738.44,1361.1858312278302,22749.873,128,-1.6200000000000045,7.2999999999999545,356.94083333333333,1735.0833333333333,0.1798002350299157,10.032358797269222
1993,10,0.23,354.23,1743.38,1361.207707506501,22749.873,129,0.09000000000003183,4.940000000000055,357.01,1735.5583333333334,0.20167651370070416,10.032358797269222
1993,11,0.03,355.53,1745.22,1361.2291132608636,22749.873,130,1.2999999999999545,1.8399999999999181,357.10249999999996,1736.0575,0.22308226806330822,10.032358797269222
1993,12,0.18,357.03,1744.27,1361.25,22749.873,131,1.5,-0.9500000000000455,357.215,1736.5375000000001,0.24396900719966652,10.032358797269222
